x y groupName
-1.9707 0.8718 cluster_1
-3.6026 1.4573 cluster_1
1.3301 -1.8392 cluster_0
-0.8573 1.8731 cluster_1
1.5054 -0.6646 cluster_2
-0.4122 -0.5576 cluster_0
-1.9295 1.3362 cluster_1
2.5946 -3.7535 cluster_0
1.6599 2.0724 cluster_2
0.2687 -4.6385 cluster_0
-1.6369 0.5820 cluster_1
-0.2558 0.1581 cluster_1
-0.7560 -0.7372 cluster_0
-1.7829 -0.4409 cluster_0
-0.9801 0.7395 cluster_1
0.7264 0.1944 cluster_2
-0.6010 -1.8569 cluster_0
1.1196 -1.4307 cluster_2
-0.6485 -2.5539 cluster_0
4.2770 0.0514 cluster_2
1.6139 2.2029 cluster_2
1.5737 -2.6902 cluster_0
-3.3770 2.8862 cluster_1
0.8502 0.6710 cluster_2
0.4958 3.1419 cluster_1
-1.4310 -1.1117 cluster_0
-2.0340 0.0580 cluster_1
-0.6784 -0.5740 cluster_0
-1.4545 -0.5123 cluster_0
-1.0124 2.2791 cluster_1
-3.5083 3.0431 cluster_1
1.3114 -1.7525 cluster_0
0.3743 -1.7818 cluster_0
2.0371 3.2347 cluster_2
-2.1814 1.7410 cluster_1
2.2026 2.6855 cluster_2
1.7039 -1.6858 cluster_2
-2.4698 0.1545 cluster_1
1.1624 -1.9177 cluster_0
0.5199 4.7332 cluster_1
-0.7268 1.1775 cluster_1
-1.5874 1.6742 cluster_1
0.0297 1.1275 cluster_1
0.6922 -1.7317 cluster_0
-0.1589 -1.6079 cluster_0
0.1445 -1.9000 cluster_0
-2.9031 0.0069 cluster_1
0.5164 -0.3317 cluster_2
0.3300 -2.2007 cluster_0
2.2199 -0.4514 cluster_2
-3.9369 -2.6848 cluster_0
-2.1266 -3.0293 cluster_0
3.0102 0.1465 cluster_2
0.8263 2.1905 cluster_2
